Unnamed: 0,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,y
0,6,1,No,No,0
1,7,0,No,No,0
2,4,1,No,No,1
3,3,1,No,No,0
4,8,1,Yes,No,0
5,4,0,No,No,0
6,4,0,No,No,0
7,3,0,Yes,Yes,1
8,6,1,Yes,Yes,1
9,3,0,Yes,No,0
10,9,1,No,No,0
11,5,0,Yes,Yes,1
12,6,0,No,No,1
13,6,0,Yes,Yes,1
14,3,0,No,No,0
15,7,0,No,No,0
16,4,1,No,No,0
17,7,0,No,No,1
18,5,1,No,No,1
19,2,0,Yes,Yes,1
20,6,0,Yes,No,0
21,3,0,No,No,1
22,4,0,No,No,0
23,9,0,No,No,1
24,7,0,Yes,Yes,0
25,4,0,No,Yes,0
26,6,0,Yes,No,1
27,2,0,Yes,No,0
28,4,0,Yes,No,0
29,3,0,No,No,0
30,6,0,Yes,Yes,0
31,4,0,No,No,0
32,4,0,No,No,1
33,3,0,No,No,0
34,9,0,No,No,1
35,4,0,Yes,Yes,0
36,9,1,No,No,0
37,4,0,No,No,0
38,2,0,No,No,0
39,5,1,Yes,Yes,1
40,3,1,Yes,Yes,1
41,5,0,No,No,0
42,2,1,Yes,Yes,1
43,4,0,Yes,No,1
44,7,0,No,Yes,1
45,5,1,No,Yes,1
46,4,0,No,Yes,1
47,5,0,No,No,0
48,3,0,No,No,0
49,3,0,No,Yes,1
50,3,1,No,No,0
51,3,0,No,No,0
52,4,0,No,Yes,0
53,2,0,No,No,0
54,7,0,No,No,0
55,5,0,No,No,0
56,3,0,No,No,1
57,6,0,No,No,1
58,6,0,Yes,Yes,1
59,9,0,Yes,Yes,1
60,4,0,Yes,Yes,0
61,3,0,Yes,No,1
62,4,0,Yes,No,0
63,2,0,No,No,0
64,9,0,Yes,Yes,1
65,5,1,No,No,0
66,6,0,Yes,No,0
67,3,0,Yes,Yes,1
68,4,0,No,No,0
69,4,0,No,No,0
70,4,0,No,No,0
71,6,0,Yes,No,0
72,6,1,Yes,No,0
73,7,0,Yes,No,0
74,4,1,No,No,0
75,5,0,No,No,0
76,3,0,No,No,1
77,4,0,No,No,0
78,3,0,No,Yes,1
79,5,1,No,No,0
80,4,1,No,No,0
81,8,0,No,No,0
82,4,1,No,No,0
83,4,0,Yes,No,1
84,6,1,No,No,0
85,4,0,Yes,No,1
86,4,0,No,No,0
87,6,0,No,No,0
88,5,1,No,No,0
89,8,0,No,No,0
90,3,0,No,No,0
91,4,1,No,No,0
92,5,0,No,No,0
93,7,0,Yes,No,1
94,4,0,No,No,0
95,5,0,No,Yes,1
96,4,0,No,No,0
97,7,0,No,No,0
98,6,0,No,No,0
99,3,0,No,No,0
100,6,1,No,No,1
101,3,1,Yes,Yes,1
102,3,1,No,No,0
103,5,0,No,Yes,1
104,3,0,No,No,0
105,3,0,No,No,0
106,3,0,No,No,0
107,3,1,No,Yes,0
108,4,0,No,No,1
109,3,0,Yes,No,1
110,5,0,No,No,0
111,5,0,No,No,0
112,4,0,No,No,0
113,4,0,Yes,No,0
114,5,0,No,No,0
115,4,0,No,No,0
116,5,0,No,No,1
117,5,0,No,No,0
118,4,1,Yes,Yes,1
119,4,0,No,No,0
120,3,1,No,No,0
121,6,0,No,Yes,1
122,6,1,No,No,0
123,3,0,No,No,0
124,4,1,No,No,0
125,3,1,No,No,1
126,5,0,Yes,No,0
127,5,0,No,No,0
128,8,0,No,Yes,1
129,6,0,No,No,0
130,4,0,No,No,0
131,4,0,No,No,0
132,4,0,No,No,0
133,4,0,No,Yes,1
134,5,0,Yes,No,0
135,6,0,No,Yes,1
136,6,0,No,No,1
137,4,1,Yes,No,0
138,4,0,No,No,0
139,7,1,No,No,1
140,4,1,No,No,0
141,3,0,No,Yes,0
142,9,1,No,No,0
143,4,0,No,No,0
144,4,0,No,No,0
145,6,0,No,No,0
146,3,1,No,No,1
147,4,1,No,No,0
148,4,0,No,Yes,1
149,5,1,No,No,0
150,2,1,No,No,1
151,7,0,No,No,1
152,5,0,Yes,No,0
153,5,0,Yes,No,0
154,4,0,Yes,No,0
155,6,0,No,No,1
156,4,0,Yes,No,0
157,3,1,No,No,0
158,6,0,Yes,No,1
159,7,1,No,No,0
160,5,1,No,No,1
161,3,1,No,Yes,1
162,7,0,No,No,1
163,5,0,No,No,0
164,6,0,No,No,0
165,4,0,No,No,0
166,7,0,No,No,0
167,3,0,No,No,0
168,7,1,No,No,0
169,6,0,No,No,0
170,6,1,No,Yes,1
171,7,0,No,No,0
172,8,0,No,No,0
173,5,1,No,No,1
174,6,0,Yes,No,1
175,3,0,No,No,0
176,6,0,No,No,1
177,5,0,No,No,0
178,6,0,No,No,0
179,4,0,No,No,0
180,6,0,Yes,No,0
181,3,0,No,No,0
182,3,0,Yes,No,1
183,3,1,Yes,No,0
184,3,0,No,No,0
185,4,0,No,No,1
186,9,0,No,No,1
187,9,0,No,No,0
188,4,0,No,No,0
189,7,1,No,Yes,1
190,5,0,No,No,0
191,3,0,No,Yes,0
192,4,1,No,Yes,0
193,5,1,No,No,0
194,5,0,No,No,0
195,5,0,Yes,Yes,1
196,7,0,No,No,1
197,5,1,Yes,No,0
198,4,0,No,Yes,1
199,5,0,Yes,Yes,1
200,4,0,No,No,1
201,2,0,No,Yes,1
202,7,0,No,No,1
203,4,1,No,No,0
204,4,0,Yes,No,0
205,4,1,No,Yes,0
206,5,1,No,No,1
207,3,0,No,No,0
208,4,0,No,Yes,1
209,3,1,Yes,No,0
210,5,1,Yes,No,0
211,5,0,No,No,0
212,5,1,No,No,0
213,5,0,Yes,Yes,1
214,5,1,No,Yes,0
215,5,0,No,No,0
216,8,0,No,No,1
217,6,0,No,No,0
218,7,0,Yes,Yes,0
219,9,1,No,No,0
220,2,0,No,No,0
221,6,1,No,No,0
222,3,0,No,No,0
223,3,0,No,No,0
224,5,0,Yes,No,0
225,2,0,No,No,0
226,9,1,No,No,1
227,6,1,No,No,0
228,5,0,No,No,0
229,2,0,No,No,0
230,7,0,Yes,No,0
231,5,1,No,No,0
232,6,0,No,No,0
233,6,1,No,No,0
234,4,0,No,No,0
235,4,0,No,No,0
236,5,0,Yes,Yes,1
237,8,0,No,No,0
238,3,1,No,No,0
239,5,0,No,No,0
240,7,0,No,No,0
241,6,0,No,No,1
242,4,0,No,No,0
243,6,0,No,No,0
244,4,0,No,No,0
245,3,0,No,No,0
246,6,1,No,No,0
247,3,0,Yes,No,1
248,6,0,No,No,1
249,5,0,No,No,0
250,6,1,No,No,1
251,5,0,No,No,0
252,5,1,No,Yes,1
253,2,0,No,Yes,1
254,5,0,No,No,0
255,5,0,Yes,Yes,1
256,7,1,No,Yes,1
257,5,0,No,No,1
258,7,0,Yes,No,0
259,3,1,No,No,1
260,3,1,No,Yes,1
261,4,1,No,No,1
262,4,1,No,No,0
263,4,0,No,No,0
264,9,1,No,No,0
265,6,0,Yes,No,0
266,5,0,No,No,0
267,4,0,No,No,1
268,6,0,No,No,1
269,5,0,No,No,0
270,6,0,No,Yes,1
271,3,1,No,No,0
272,3,1,No,No,0
273,6,0,Yes,No,1
274,7,0,No,No,1
275,4,1,No,Yes,1
276,6,0,No,No,0
277,7,0,Yes,No,0
278,5,1,No,No,1
279,6,0,No,No,0
280,6,0,Yes,No,0
281,6,0,No,No,0
282,4,0,No,Yes,1
283,4,0,Yes,No,0
284,3,0,No,No,1
285,4,0,No,No,0
286,3,0,No,No,0
287,4,0,No,No,0
288,4,0,No,No,0
289,3,0,No,No,0
290,6,1,No,No,0
291,3,0,Yes,No,0
292,4,0,No,No,0
293,3,0,No,No,1
294,4,0,No,No,0
295,5,0,No,No,0
296,7,0,No,No,0
297,7,1,No,No,1
298,4,0,Yes,No,1
299,3,0,No,No,0
300,5,1,No,No,1
301,4,1,No,No,0
302,6,0,No,No,1
303,3,0,No,No,0
304,3,0,No,No,0
305,4,1,No,Yes,0
306,5,1,No,No,1
307,8,1,No,No,0
308,9,1,No,No,0
309,4,0,No,No,1
310,8,0,No,No,0
311,7,0,Yes,Yes,1
312,7,0,No,No,0
313,4,0,No,No,1
314,5,0,No,Yes,1
315,4,0,No,No,0
316,5,1,No,No,0
317,6,0,No,No,1
318,3,0,No,No,1
319,2,1,Yes,No,1
320,5,0,No,No,0
321,3,0,No,No,0
322,3,0,No,No,0
323,5,0,No,Yes,1
324,5,0,No,No,0
325,4,0,No,No,0
326,5,0,No,No,0
327,3,0,No,No,0
328,6,0,Yes,Yes,1
329,8,0,No,No,0
330,4,0,No,No,0
331,4,0,No,No,1
332,7,1,Yes,No,1
333,6,1,No,Yes,0
334,3,0,No,No,1
335,2,0,No,No,1
336,9,1,No,No,0
337,7,0,Yes,No,0
338,3,0,No,No,0
339,5,0,No,No,0
340,7,1,No,No,0
341,7,0,No,No,0
342,2,0,No,No,1
343,7,0,No,No,0
344,4,0,Yes,Yes,0
345,5,0,No,Yes,0
346,7,1,Yes,No,1
347,6,0,Yes,No,0
348,6,1,No,Yes,0
349,3,0,No,No,0
350,5,0,Yes,Yes,0
351,9,1,Yes,No,0
352,6,0,No,Yes,1
353,3,0,No,No,0
354,5,0,No,No,1
355,3,0,No,Yes,1
356,4,0,No,No,0
357,5,0,No,No,0
358,5,0,Yes,No,0
359,3,0,No,No,0
360,4,0,No,No,0
361,4,0,No,Yes,1
362,2,1,No,No,0
363,4,0,No,No,0
364,6,0,No,No,0
365,3,0,Yes,No,1
366,3,0,No,No,0
367,4,0,No,No,0
368,3,0,No,No,1
369,7,1,No,No,0
370,6,0,No,No,1
371,5,1,No,Yes,0
372,5,1,No,No,0
373,5,0,Yes,No,0
374,7,0,No,No,0
375,6,1,No,No,0
376,4,0,No,No,0
377,4,0,Yes,No,1
378,5,0,Yes,No,1
379,6,0,Yes,No,1
380,5,1,No,No,0
381,5,0,No,No,0
382,6,0,No,Yes,1
383,4,0,No,No,0
384,3,0,No,Yes,0
385,5,0,No,No,0
386,5,0,No,Yes,1
387,5,0,No,No,0
388,5,0,No,No,0
389,5,0,No,Yes,1
390,5,0,No,No,1
391,5,0,No,No,1
392,4,1,No,No,1
393,3,0,Yes,No,0
394,4,0,No,No,1
395,5,0,No,No,0
396,6,1,No,No,1
397,5,0,No,No,0
398,5,0,Yes,No,0
399,5,0,No,No,0
400,4,0,Yes,No,0
401,4,0,No,No,0
402,3,0,No,No,0
403,8,1,No,No,0
404,5,1,No,No,1
405,6,0,No,No,0
406,9,0,No,No,1
407,6,0,Yes,No,1
408,2,0,No,No,0
409,5,0,No,No,0
410,4,0,No,No,0
411,6,0,No,No,0
412,7,1,No,No,0
413,5,0,Yes,No,1
414,4,0,No,Yes,1
415,5,0,No,No,0
416,7,0,No,Yes,1
417,3,0,Yes,Yes,1
418,3,1,No,No,0
419,4,0,No,No,0
420,5,0,No,No,0
421,4,0,No,No,0
422,7,1,Yes,Yes,1
423,5,0,No,Yes,1
424,7,1,Yes,No,1
425,5,1,No,No,0
426,5,0,No,No,0
427,7,0,Yes,Yes,1
428,5,1,No,No,0
429,2,0,No,No,0
430,7,0,No,No,1
431,6,0,No,No,0
432,5,0,No,No,0
433,4,0,No,No,0
434,7,0,No,No,1
435,4,1,Yes,Yes,1
436,4,1,No,Yes,0
437,7,0,No,No,0
438,5,1,No,No,0
439,3,0,No,No,0
440,4,0,No,No,1
441,5,0,No,No,1
442,9,0,No,No,0
443,6,0,No,No,1
444,4,1,No,No,1
445,6,1,No,No,0
446,2,0,No,No,0
447,3,0,No,No,0
448,4,1,Yes,Yes,1
449,3,1,No,No,1
450,6,0,No,Yes,0
451,4,0,No,No,0
452,4,1,No,No,1
453,3,0,No,No,0
454,4,0,No,No,0
455,4,0,No,No,0
456,5,1,Yes,Yes,1
457,4,0,No,No,0
458,3,1,No,No,0
459,5,0,Yes,Yes,1
460,6,0,No,Yes,1
461,4,1,No,No,1
462,6,1,No,No,0
463,2,1,No,No,0
464,5,0,Yes,Yes,1
465,5,0,Yes,Yes,1
466,4,0,No,No,0
467,5,0,No,No,0
468,5,0,No,No,0
469,5,0,Yes,No,1
470,2,1,No,No,0
471,3,0,No,No,0
472,5,0,No,No,0
473,8,0,No,Yes,1
474,3,1,Yes,No,0
475,4,0,No,No,1
476,4,1,No,Yes,1
477,6,1,Yes,Yes,1
478,4,0,No,No,0
479,4,1,No,No,0
480,7,0,Yes,No,1
481,4,0,No,No,0
482,9,0,No,No,0
483,4,0,No,No,0
484,6,0,No,No,1
485,4,0,No,No,0
486,4,0,Yes,No,0
487,4,0,No,No,1
488,3,0,No,No,0
489,9,0,No,No,0
490,5,1,No,No,0
491,4,1,No,No,1
492,3,0,No,No,0
493,7,0,No,No,0
494,5,1,No,Yes,0
495,4,0,No,No,0
496,7,0,No,No,0
497,5,0,Yes,No,1
498,5,0,No,No,0
499,6,0,No,No,0
500,4,0,Yes,Yes,1
501,3,0,No,No,0
502,4,1,No,No,1
503,5,0,No,No,0
504,4,0,No,No,0
505,4,0,No,No,0
506,6,0,No,No,0
507,2,1,No,No,0
508,6,0,No,No,1
509,6,0,Yes,Yes,1
510,5,0,No,No,0
511,3,0,No,Yes,0
512,5,0,Yes,No,0
513,5,1,No,No,0
514,4,0,No,No,1
515,7,0,Yes,No,0
516,3,1,No,No,0
517,5,0,No,No,1
518,4,0,Yes,Yes,1
519,3,0,Yes,No,1
520,4,1,No,No,0
521,6,0,No,No,0
522,6,1,No,No,1
523,5,1,No,No,0
524,4,0,No,No,0
525,9,0,No,No,0
526,4,1,No,No,0
527,4,1,No,No,0
528,5,0,No,No,0
529,4,0,Yes,No,0
530,3,0,No,No,0
531,6,1,No,No,0
532,5,1,Yes,No,1
533,3,0,No,No,0
534,4,0,No,No,1
535,5,0,No,Yes,1
536,3,0,No,No,0
537,8,1,No,No,1
538,2,1,Yes,No,0
539,4,0,No,No,0
540,3,0,Yes,Yes,1
541,5,0,No,No,0
542,4,0,Yes,No,0
543,3,1,No,No,0
544,3,0,No,No,0
545,6,1,No,No,0
546,3,0,No,No,0
547,4,1,No,Yes,1
548,5,0,No,No,0
549,5,1,No,No,0
550,5,0,No,No,0
551,9,1,No,Yes,1
552,4,0,No,No,0
553,5,0,Yes,Yes,0
554,6,0,No,No,0
555,4,0,No,No,0
556,4,1,No,No,0
557,3,0,No,No,0
558,3,1,No,No,0
559,3,0,No,No,1
560,7,0,No,Yes,1
561,9,0,No,No,0
562,4,0,No,Yes,0
563,3,1,No,No,1
564,6,1,No,No,0
565,5,0,No,No,0
566,3,0,No,Yes,0
567,7,1,No,Yes,1
568,5,0,No,No,0
569,4,1,No,No,0
570,5,1,No,No,0
571,5,1,No,No,0
572,5,0,No,No,0
573,3,0,No,No,0
574,5,0,Yes,No,0
575,6,0,Yes,No,1
576,3,0,No,Yes,1
577,3,0,No,No,1
578,4,0,No,No,0
579,3,0,No,No,0
580,4,0,No,No,0
581,4,1,No,No,0
582,3,0,No,No,0
583,3,0,No,No,1
584,5,0,No,No,0
585,7,1,No,Yes,1
586,7,0,No,No,0
587,9,1,No,No,1
588,6,0,No,No,1
589,3,0,No,Yes,1
590,5,0,No,No,0
591,3,1,No,No,0
592,4,0,Yes,No,1
593,4,0,No,No,0
594,5,0,Yes,No,0
595,5,1,Yes,No,0
596,5,0,No,Yes,1
597,4,0,No,No,0
598,6,0,Yes,No,1
599,4,1,No,No,0
600,4,1,Yes,Yes,1
601,5,0,No,No,0
602,4,0,Yes,Yes,1
603,6,1,No,Yes,1
604,7,0,No,No,0
605,5,0,No,Yes,1
606,3,0,No,No,0
607,8,1,No,No,0
608,4,1,Yes,No,1
609,7,1,Yes,Yes,1
610,8,0,No,Yes,0
611,6,1,No,No,0
612,9,0,No,No,0
613,6,0,No,No,0
614,5,1,No,No,0
615,3,1,No,No,0
616,7,1,No,Yes,0
617,5,0,Yes,No,1
618,2,0,Yes,No,1
619,6,0,No,No,1
620,4,0,Yes,No,0
621,4,0,No,No,0
622,5,0,Yes,No,0
623,3,0,No,No,0
624,9,0,No,No,0
625,4,0,No,No,0
626,6,0,Yes,No,0
627,6,0,No,No,0
628,9,0,No,No,0
629,4,0,Yes,No,0
630,9,0,No,No,0
631,6,1,No,Yes,1
632,3,0,No,No,0
633,7,1,No,No,0
634,4,0,No,No,0
635,4,0,No,No,0
636,4,0,No,Yes,1
637,5,1,No,No,0
638,3,0,Yes,Yes,1
639,5,1,Yes,No,0
640,5,0,No,No,0
641,5,1,No,Yes,0
642,6,1,No,No,0
643,5,1,No,No,0
644,4,0,No,No,0
645,4,0,No,No,0
646,6,0,No,No,0
647,5,0,Yes,No,1
648,4,0,No,No,0
649,5,0,No,No,0
650,4,0,Yes,Yes,1
651,8,1,No,Yes,1
652,6,0,No,No,1
653,7,0,No,No,0
654,6,0,No,No,0
655,4,0,No,No,0
656,6,1,No,No,0
657,5,0,No,No,1
658,6,0,Yes,Yes,1
659,3,0,No,No,0
660,4,0,No,No,0
661,5,0,No,No,0
662,6,0,No,No,0
663,6,1,No,No,1
664,4,0,Yes,Yes,1
665,6,0,Yes,No,0
666,5,0,No,No,0
667,4,1,No,Yes,0
668,5,0,Yes,No,0
669,3,0,Yes,No,0
670,4,1,No,No,0
671,3,1,No,No,0
672,2,1,No,No,0
673,3,1,No,No,1
674,2,0,No,No,0
675,3,0,No,No,0
676,7,1,No,No,0
677,7,0,No,No,0
678,4,0,Yes,No,1
679,5,0,No,No,0
680,4,1,No,Yes,1
681,4,0,No,No,0
682,5,1,Yes,Yes,1
683,4,0,No,No,0
684,4,0,No,No,0
685,4,1,Yes,Yes,1
686,3,0,Yes,Yes,1
687,3,0,No,No,0
688,5,1,No,No,0
689,7,0,No,No,0
690,8,0,No,Yes,0
691,3,0,Yes,No,0
692,6,0,No,No,0
693,5,1,No,No,0
694,6,1,No,No,1
695,7,0,No,No,0
696,2,0,No,No,0
697,3,1,No,Yes,1
698,7,0,No,No,1
699,3,1,Yes,No,0
700,4,0,Yes,Yes,1
701,7,1,No,Yes,1
702,8,0,No,No,0
703,6,0,No,No,0
704,8,0,No,No,1
705,5,1,No,No,0
706,4,0,No,No,0
707,4,1,No,No,0
708,3,0,No,No,0
709,3,0,Yes,Yes,1
710,3,1,Yes,Yes,1
711,8,0,No,No,1
712,9,0,Yes,Yes,1
713,2,1,No,No,1
714,4,0,No,No,0
715,5,0,No,No,0
716,7,0,No,No,1
717,4,0,No,No,0
718,4,0,No,No,0
719,4,0,No,No,0
720,2,0,No,Yes,0
721,4,0,No,No,0
722,8,0,No,No,1
723,2,1,Yes,No,0
724,3,0,No,No,0
725,4,0,No,No,1
726,5,0,Yes,No,1
727,7,1,No,No,1
728,6,0,No,Yes,0
729,3,0,No,Yes,0
730,6,0,No,No,1
731,5,0,No,No,0
732,4,0,No,No,0
733,4,0,Yes,No,0
734,7,0,No,No,1
735,4,0,No,No,0
736,7,0,No,No,0
737,4,1,No,No,1
738,7,0,Yes,No,0
739,4,0,No,No,1
740,6,1,No,No,1
741,6,0,No,No,1
742,7,1,No,No,1
743,6,0,No,No,0
744,5,1,No,Yes,0
745,3,0,Yes,No,0
746,3,1,No,No,0
747,6,0,No,No,1
748,5,0,No,Yes,0
749,8,0,No,No,1
750,4,0,No,No,0
751,9,0,No,Yes,1
752,6,0,No,No,1
753,4,1,No,No,0
754,3,0,No,No,0
755,4,0,No,No,0
756,6,0,No,No,0
757,6,1,No,No,0
758,6,1,No,Yes,1
759,7,1,No,No,1
760,4,1,No,No,0
761,3,0,Yes,Yes,1
762,5,0,No,No,0
763,4,1,No,No,0
764,5,0,No,No,0
765,4,0,No,No,0
766,3,1,No,No,0
767,6,0,No,No,0
768,5,0,Yes,Yes,1
769,3,0,No,No,0
770,5,0,No,No,0
771,7,0,No,No,1
772,3,0,No,No,0
773,6,0,No,No,0
774,5,0,Yes,No,0
775,3,0,No,No,0
776,6,0,Yes,Yes,1
777,5,0,No,No,0
778,6,0,No,No,0
779,4,0,No,Yes,1
780,6,0,No,No,0
781,5,0,No,No,1
782,4,0,No,No,0
783,7,0,No,No,0
784,5,1,Yes,Yes,1
785,7,0,No,Yes,0
786,2,0,No,No,0
787,4,0,No,No,0
788,7,0,No,No,0
789,4,0,No,No,1
790,4,1,No,No,1
791,7,0,No,No,1
792,6,0,Yes,No,0
793,6,0,No,No,1
794,7,1,No,No,0
795,3,0,No,No,0
796,7,0,No,No,0
797,4,0,No,No,0
798,5,1,No,No,1
799,3,0,No,No,0
800,6,0,No,No,0
801,4,1,No,No,1
802,5,1,No,No,1
803,7,1,No,No,0
804,4,1,No,No,0
805,3,1,Yes,No,0
806,5,0,No,No,0
807,3,0,Yes,No,1
808,6,0,Yes,Yes,1
809,5,1,Yes,Yes,1
810,4,1,No,No,0
811,3,0,No,No,0
812,4,1,No,No,0
813,3,0,No,No,0
814,6,1,No,Yes,0
815,5,1,Yes,No,0
816,4,0,No,No,0
817,4,0,No,No,1
818,4,0,No,No,1
819,4,1,No,No,0
820,4,0,No,No,0
821,4,1,No,No,1
822,4,0,No,No,0
823,4,0,No,No,0
824,4,0,No,No,0
825,7,0,No,No,1
826,3,0,Yes,No,0
827,7,1,No,No,1
828,6,1,No,No,1
829,5,0,No,No,0
830,6,0,No,No,1
831,6,1,No,No,0
832,6,0,Yes,Yes,1
833,3,0,Yes,Yes,1
834,5,1,Yes,Yes,1
835,9,0,No,No,0
836,4,0,Yes,Yes,1
837,7,0,Yes,No,0
838,5,0,Yes,No,0
839,4,0,No,No,1
840,3,0,No,No,1
841,3,0,Yes,Yes,1
842,3,0,No,No,0
843,3,0,No,No,0
844,2,0,No,No,0
845,3,1,No,No,0
846,4,0,No,No,0
847,4,0,No,No,1
848,6,1,No,No,0
849,4,0,No,No,0
850,4,0,Yes,No,0
851,5,0,No,No,1
852,3,1,No,No,0
853,6,1,No,No,0
854,3,1,No,No,0
855,6,0,No,No,0
856,7,0,No,No,1
857,3,0,No,No,1
858,5,0,Yes,No,0
859,4,0,No,No,0
860,4,1,No,No,0
861,3,1,Yes,Yes,1
862,3,1,No,No,0
863,3,0,No,No,0
864,6,0,Yes,No,0
865,5,0,No,Yes,1
866,3,1,No,Yes,1
867,5,0,No,No,0
868,5,1,No,No,0
869,3,0,No,Yes,1
870,2,0,No,Yes,0
871,5,1,Yes,Yes,0
872,3,0,No,No,0
873,3,0,No,No,1
874,4,0,No,No,0
875,3,1,No,No,0
876,4,1,No,No,0
877,3,0,No,Yes,1
878,4,0,No,No,0
879,4,0,No,No,1
880,6,0,Yes,No,0
881,4,0,No,No,0
882,4,1,No,No,0
883,3,0,No,Yes,1
884,8,0,Yes,No,1
885,5,0,No,No,0
886,3,0,No,Yes,1
887,4,0,No,No,0
888,6,1,No,No,0
889,3,1,No,No,0
890,3,0,No,Yes,1
891,5,1,No,No,0
892,4,0,No,No,0
893,2,0,No,No,0
894,5,0,No,No,1
895,5,0,No,Yes,1
896,4,0,No,No,0
897,5,1,No,No,0
898,5,0,No,No,0
899,3,0,Yes,No,1
900,3,1,Yes,No,1
901,2,0,No,No,0
902,7,1,No,No,1
903,4,0,No,No,0
904,6,0,No,No,0
905,6,0,No,Yes,0
906,5,1,No,No,0
907,6,0,No,Yes,1
908,3,0,No,Yes,0
909,4,1,No,Yes,1
910,4,0,No,No,0
911,5,0,Yes,No,0
912,6,0,Yes,Yes,1
913,4,0,No,Yes,1
914,6,1,No,No,0
915,2,0,Yes,No,0
916,6,0,Yes,Yes,1
917,6,0,No,No,0
918,7,1,No,No,1
919,6,0,Yes,Yes,1
920,5,0,No,No,0
921,4,0,No,No,0
922,4,0,No,No,0
923,4,1,Yes,No,0
924,6,0,No,No,0
925,3,0,No,No,0
926,5,0,No,No,1
927,5,1,Yes,Yes,1
928,7,0,No,No,1
929,5,0,No,No,1
930,7,1,No,No,1
931,6,1,No,No,0
932,5,1,No,No,1
933,5,0,No,Yes,0
934,5,0,Yes,No,0
935,7,0,Yes,No,1
936,3,0,No,No,0
937,4,0,No,No,0
938,8,0,Yes,No,1
939,8,0,No,No,1
940,6,0,Yes,Yes,1
941,5,0,No,No,0
942,6,0,No,No,0
943,5,1,No,No,0
944,3,0,No,No,0
945,9,0,No,No,0
946,5,0,Yes,Yes,1
947,5,0,No,No,0
948,5,0,No,No,0
949,3,1,No,Yes,1
950,5,0,No,No,0
951,5,0,Yes,Yes,1
952,5,0,Yes,Yes,1
953,6,0,No,No,0
954,5,1,Yes,No,0
955,6,0,No,No,1
956,5,0,Yes,No,1
957,5,1,No,No,0
958,5,1,No,No,0
959,6,0,No,No,0
960,4,0,Yes,Yes,1
961,6,1,No,No,0
962,5,0,No,No,0
963,6,1,No,No,1
964,9,1,No,No,1
965,8,0,Yes,No,0
966,4,1,Yes,No,1
967,5,0,No,No,0
968,5,1,No,No,0
969,3,0,No,No,0
970,7,0,No,No,0
971,6,0,No,Yes,1
972,3,0,No,No,0
973,4,0,Yes,Yes,1
974,4,0,Yes,Yes,1
975,3,1,Yes,Yes,1
976,5,0,No,No,0
977,2,0,Yes,Yes,1
978,4,0,Yes,No,0
979,4,0,No,No,0
980,8,0,No,No,0
981,3,0,No,No,0
982,5,0,No,No,0
983,6,0,Yes,No,1
984,5,1,No,No,0
985,3,1,Yes,Yes,1
986,3,0,No,Yes,1
987,2,1,No,Yes,1
988,7,0,No,No,0
989,7,1,No,No,1
990,4,0,Yes,No,1
991,7,0,Yes,Yes,1
992,4,1,No,No,0
993,2,0,Yes,No,0
994,6,1,No,No,0
995,5,0,No,No,0
996,4,0,Yes,Yes,1
997,4,1,No,No,0
998,4,0,No,Yes,1
999,6,0,No,No,1
1000,4,0,No,No,0
1001,5,0,No,No,1
1002,8,0,No,No,0
1003,5,1,No,No,0
1004,4,1,No,No,0
1005,4,0,No,No,0
1006,6,0,No,No,0
1007,6,0,No,No,1
1008,5,0,No,Yes,1
1009,4,0,Yes,Yes,1
1010,8,0,No,No,0
1011,9,0,No,No,1
1012,5,0,No,No,0
1013,4,0,Yes,No,0
1014,5,0,No,No,1
1015,4,1,No,Yes,1
1016,9,1,No,No,0
1017,3,1,No,No,0
1018,7,0,No,No,0
1019,4,1,Yes,Yes,1
1020,4,0,No,No,0
1021,4,0,No,No,1
